quote,author,tags
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"death,life"
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"death,life"
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"death,life"
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"death,life"
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"death,life"
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"death,life"
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"death,life"
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"death,life"
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"death,life"
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"death,life"
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life
